concept,mean_cosine_similarity
gender stereotype,0.181046
text overlay on image,0.179879
pornographic content,0.179597
sexual objectification,0.176261
body shaming,0.174488
fat shaming,0.172952
violence against women,0.168758
insulting text,0.162400
revealing clothing,0.159498
derogatory gesture,0.159044
angry man,0.157590
smiling woman,0.157057
physical aggression,0.156391
woman doing housework,0.154561
woman in the kitchen,0.149267
photograph of a person,0.146916
cartoon drawing,0.121820
neutral everyday scene,0.111084
